club_id,club_name,country_name
1,FC Saarbrücken,Germany
2,FC Kaiserslautern,Germany
3,FC Köln,Germany
4,FC Nuremberg,Germany
5,AC Milan,Italy
6,Adanaspor,Türkiye
8,Alemannia Aachen,Germany
10,Arminia Bielefeld,Germany
11,Arsenal FC,England
12,AS Roma,Italy
13,Atlético de Madrid,Spain
14,Austria Vienna,Austria
15,Bayer 04 Leverkusen,Germany
16,Borussia Dortmund,Germany
17,Borussia Dortmund II,Germany
18,Borussia Mönchengladbach,Germany
19,Brescia Calcio,Italy
20,Bursaspor,Türkiye
21,Chemnitzer FC,Germany
22,Derby County,England
23,Eintracht Braunschweig,Germany
24,Eintracht Frankfurt,Germany
25,FC Energie Cottbus,Germany
26,FC Basel 1893,Switzerland
27,Bayern Munich,Germany
28,FC Bayern Munich II,Germany
29,Everton FC,England
30,FC Hansa Rostock,Germany
31,Liverpool FC,England
33,FC Schalke 04,Germany
35,FC St. Pauli,Germany
36,Fenerbahce,Türkiye
38,Fortuna Düsseldorf,Germany
39,1.FSV Mainz 05,Germany
40,FC Girondins Bordeaux,France
41,Hamburger SV,Germany
42,Hannover 96,Germany
43,Heart of Midlothian FC,Scotland
44,Hertha BSC,Germany
46,Inter Milan,Italy
47,POT Iraklis Thessaloniki,Greece
48,Karlsruher SC,Germany
50,Rot Weiss Ahlen,Germany
52,MSV Duisburg,Germany
56,Rot-Weiss Essen,Germany
57,Rot-Weiß Oberhausen,Germany
58,RSC Anderlecht,Belgium
59,SC Campomaiorense,Portugal
60,SC Freiburg,Germany
61,Servette FC,Switzerland
62,SK Slavia Prague,Czech Republic
64,SV 07 Elversberg,Germany
65,SpVgg Greuther Fürth,Germany
66,SpVgg Unterhaching,Germany
69,SSV Ulm 1846,Germany
71,Stuttgarter Kickers,Germany
72,TSV 1860 Munich,Germany
76,Vålerenga Fotball Elite,Norway
78,VfB Lübeck,Germany
79,VfB Stuttgart,Germany
80,VfL Bochum,Germany
81,VfL Osnabrück,Germany
82,VfL Wolfsburg,Germany
83,VfR Aalen,Germany
84,Debreceni VSC,Hungary
